incident_id,fecha,anio,mes,dia,hora,minuto,dia_semana,tipo,prioridad,prioridad_base_tipo,latitud,longitud,dist_hermelinda_km,dist_sanchez_carrion_km,dist_parque_industrial_km,dist_cesar_vallejo_km,hora_bin,hora_sin,hora_cos,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,es_fin_de_semana,lat_bin,lng_bin,hotspot_cercano,dist_hotspot_mas_cercano_km,tipo_encoded,tipo_Estafa,tipo_Extorsión,tipo_Hurto,tipo_Otros,tipo_Robo,tipo_Secuestro,tipo_Violencia contra la mujer e integrantes,hotspot_encoded,prioridad_encoded
29476,2025-02-27 15:30:00,2025,2,27,15,30,3,Otros,BAJA,BAJA,-8.053186577437033,-79.00630809704087,1.084490787680421,2.8693534094986464,0.8241230942395597,4.469024586743557,5,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,-8.05,-79.01,Parque Industrial,0.8241230942395597,3,0,0,0,1,0,0,0,2,2
18752,2022-08-02 18:59:00,2022,8,2,18,59,1,Extorsión,ALTA,ALTA,-8.065214249048697,-79.01941150206045,2.971410432774029,4.788499558945661,1.144257152279844,6.41385576529404,6,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0,-8.07,-79.02,Parque Industrial,1.144257152279844,1,0,1,0,0,0,0,0,2,0
24200,2023-11-10 19:31:00,2023,11,10,19,31,4,Hurto,MEDIA,MEDIA,-8.027254997757213,-78.99417274963051,2.100356531749959,0.4359855267141128,3.942083538166848,1.5100155002382412,6,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,-8.03,-78.99,Sanchez Carrion,0.4359855267141128,2,0,0,1,0,0,0,0,3,1
26547,2024-05-07 12:13:00,2024,5,7,12,13,1,Extorsión,ALTA,ALTA,-8.034791757332787,-78.98850020225773,1.8965945785118523,0.6505635203224379,3.654310880022133,1.692360197118092,4,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,-8.03,-78.99,Sanchez Carrion,0.6505635203224379,1,0,1,0,0,0,0,0,3,0
22890,2023-07-25 04:26:00,2023,7,25,4,26,1,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.047901059867586,-79.00209278097847,0.4451296978435144,2.129338846490125,1.5655019822062144,3.720463438875342,1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0,-8.05,-79.0,Hermelinda,0.4451296978435144,6,0,0,0,0,0,0,1,1,0
2465,2018-08-18 23:46:00,2018,8,18,23,46,5,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.057564244879185,-79.00946716846589,1.6678966825895083,3.4658524472351755,0.2830357784426375,5.067163225810632,7,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,1,-8.06,-79.01,Parque Industrial,0.2830357784426375,6,0,0,0,0,0,0,1,2,0
33246,2026-02-11 14:45:00,2026,2,11,14,45,2,Robo,ALTA,ALTA,-8.009344715394615,-78.97813991419142,4.726716456048207,2.911258387162543,6.570339809896127,1.363923640417701,4,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,-8.01,-78.98,Cesar Vallejo,1.363923640417701,4,0,0,0,0,1,0,0,0,0
1110,2018-04-12 08:32:00,2018,4,12,8,32,3,Robo,ALTA,ALTA,-8.044390969708845,-79.00412439532542,0.1312083595800825,1.9280404219819156,1.7440744560175705,3.563564412230542,2,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,-8.04,-79.0,Hermelinda,0.1312083595800825,4,0,0,0,0,1,0,0,1,0
19351,2022-09-17 18:34:00,2022,9,17,18,34,5,Robo,ALTA,ALTA,-8.05650543792269,-79.01583582947619,1.982619291814853,3.790086662714908,0.4538367113294202,5.428215235830463,6,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,1,-8.06,-79.02,Parque Industrial,0.4538367113294202,4,0,0,0,0,1,0,0,2,0
1789,2018-06-23 15:42:00,2018,6,23,15,42,5,Violencia contra la mujer e integrantes,ALTA,ALTA,-8.038011428999141,-78.98916502400466,1.6624452513381258,0.8866348219501126,3.3557268248013474,2.049502645791878,5,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1,-8.04,-78.99,Sanchez Carrion,0.8866348219501126,6,0,0,0,0,0,0,1,3,0
